isqno,postype,post1,post2,front,depth,time,aeroa,surpa,cea,leada,trnga,morala,logsa,momnta,intela,techa,inita,wina,kmda,crit,quala,resa,mobila,aira,fprepa,wxa,terra,leadaa,plana,surpaa,mana,logsaa,fortsa,deepa,duration1,wofa,wofd,terra1,terra2,terra3,wx1,wx2,wx3,wx4,wx5,attacker_str,attacker_instst,attacker_rerp,attacker_cas,attacker_finst,attacker_cav,attacker_tank,attacker_lt,attacker_mbt,attacker_arty,attacker_fly,attacker_ctank,attacker_carty,cfly_x,attacker_pri1,attacker_pri2,attacker_pri3,attacker_sec1,attacker_sec2,attacker_sec3,attacker_reso1,attacker_reso2,attacker_reso3,attacker_ach,defender_str,defender_instst,defender_rerp,defender_cas,defender_finst,defender_cav,defender_tank,defender_lt,defender_mbt,defender_arty,defender_fly,defender_ctank,defender_carty,cfly_y,defender_pri1,defender_pri2,defender_pri3,defender_sec1,defender_sec2,defender_sec3,defender_reso1,defender_reso2,defender_reso3,defender_ach,att_comm1,att_comm2,def_comm1,def_comm2,def_comm3
1,0,HD,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,R,B,D,D,S,T,S,T,11500.0,11500.0,0.0,4000.0,7500.0,1500.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,FF,,,,,,RR,WD,,3,11300.0,11300.0,0.0,1000.0,10300.0,1400.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,DO,FF,,,,0,,,,8,ALBERT OF AUSTRIA,Missing,MAURICE OF NASSAU,Missing,Missing
2,1,HD,PD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.5,1.5,R,M,,D,S,T,W,T,40000.0,40000.0,0.0,400.0,39600.0,7500.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,FF,,,,,,BB,PS,,8,21000.0,21000.0,0.0,5000.0,16000.0,11000.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,DO,FF,,,,0,RR,WL,,2,BUCQUOI,Missing,CHRISTIAN OF ANHALT-BERNBERG,Missing,Missing
3,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4375,3.7,2.8,R,M,,D,S,H,$,T,20000.0,20000.0,0.0,5000.0,15000.0,4000.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,FF,,,,,,BB,PS,,7,20000.0,20000.0,0.0,5800.0,14200.0,4000.0,0.0,0.0,0.0,40.0,0.0,0.0,20.0,0.0,DD,,,,,0,WL,,,3,TILLY,CORDOVA,BADEN-DURLACH,Missing,Missing
4,0,PD,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,1,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,2.0,,,R,M,,D,S,T,$,T,8500.0,8500.0,0.0,3000.0,5500.0,2500.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,FF,,,,,,WL,,,3,16000.0,16000.0,0.0,1000.0,15000.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,DO,DE,,,,0,BB,PS,,9,MANSFIELD,Missing,WALLENSTEIN,Missing,Missing
5,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,R,M,,D,S,T,S,T,17000.0,17000.0,0.0,2000.0,15000.0,7000.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,FF,,,,,,BB,PS,,7,20000.0,20000.0,0.0,7000.0,13000.0,10000.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,DO,,,,,0,WL,,,3,TILLY,Missing,CHRISTIAN IV,Missing,Missing
6,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.6,R,M,,D,S,T,F,T,32000.0,32000.0,0.0,13600.0,18400.0,11000.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,FF,EE,LF,,,,PP,RR,WL,4,37850.0,37850.0,0.0,6100.0,31750.0,12850.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,DO,EE,LR,,,0,BB,,,9,TILLY,Missing,GUSTAVUS ADOLPHUS,Missing,Missing
7,0,PD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.2,1,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,2.0,8.0,21.0,R,M,,D,S,T,$,T,33000.0,33000.0,0.0,1000.0,32000.0,,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,FF,,,,,,SS,,,9,27000.0,27000.0,0.0,3000.0,24000.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,DO,FF,,,,0,WD,,,3,GUSTAVUS ADOLPHUS,Missing,TILLY,Missing,Missing
8,0,PD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.3,2.7,G,M,,W,L,T,F,T,46000.0,46000.0,0.0,4000.0,42000.0,16000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,FF,,,,,,RR,WD,,4,60000.0,60000.0,0.0,2000.0,58000.0,13000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,DO,FF,,,,0,RR,SS,,8,GUSTAVUS ADOLPHUS,Missing,WALLENSTEIN,Missing,Missing
9,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,4.8,R,M,,D,S,T,F,T,18996.0,18996.0,0.0,4000.0,14996.0,6210.0,0.0,0.0,0.0,60.0,0.0,0.0,,0.0,FF,,,,,,PP,,,9,21770.0,16770.0,5000.0,5000.0,16770.0,9200.0,0.0,0.0,0.0,25.0,0.0,0.0,,0.0,DO,FF,,EE,RR,0,RR,WD,,5,GUSTAVUS ADOLPHUS,Missing,WALLENSTEIN,Missing,Missing
10,0,PD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,1.0,2.8,5.6,R,M,,D,S,T,F,T,25000.0,25000.0,0.0,12000.0,13000.0,10000.0,0.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,EE,RF,,FE,LF,,RR,WL,,3,35000.0,35000.0,0.0,2000.0,33000.0,15000.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,DO,,,,,0,PS,WD,,9,SAXE-WEIMAR,HORN,CARDINAL-INFANTE,FERDINAND,Missing
