isqno,Battle Name,Date,wina,att_comm1,att_comm2,def_comm1,def_comm2,attacker_str,attacker_cav,defender_str,defender_cav,attacker_pri1,defender_pri1,post1,morala,logsa,momnta,inita,intela,mobila,fprepa,wxa,plana,surpaa,mana,terra1,terra2,wx3,wx4,wx5,def_comm3,attacker_tank,attacker_lt,attacker_mbt,defender_tank,defender_lt,defender_mbt,aeroa,aira,logsaa,wx1,wx2
661,Battle of Chaeronea,August 338 BC,1,PHILIP III,ALEXANDER III,DEMOSTHENES,CHARES OF ATHENS,30000,2000,35000,0,FF,FF,PD,0,0,0,1,0,0,0,0,1,0,1,R,M,H,S,T,Missing,0,0,0,0,0,0,0,0,0,,
662,Siege of Pelium,335 BC,1,ALEXANDER III,HEPHAESTION,CLEITUS,GLAUKIAS,20000,3000,7000,0,FF,FF,FD,0,0,0,1,2,0,0,0,0,2,0,R,M,T,,T,Missing,0,0,0,0,0,0,0,0,0,,
663,Battle of Thebes,335 BC,1,ALEXANDER III,Missing,PHOENIX,PROTHYTES,30000,3000,15000,0,FF,FF,FD,0,0,0,1,0,0,0,0,1,0,0,R,M,T,,T,Missing,0,0,0,0,0,0,0,0,0,,
664,Battle of the Granicus,May 334 BC,1,ALEXANDER III,PARMENION,ARSITES,MEMNON OF RHODES,13000,5100,12000,15000,RC,RC,HD,0,0,0,1,0,0,0,0,0,0,0,R,M,H,$,T,Missing,0,0,0,0,0,0,0,0,0,,
665,Battle of Issus,5 November 333 BC,1,ALEXANDER III,PARMENION,DARIUS III,ARSAMES,32000,5100,115000,18000,FF,FF,HD,1,0,1,2,0,0,0,0,0,0,0,R,M,T,F,D,Missing,0,0,0,0,0,0,0,0,0,,
666,Siege of Gaza,October 332 BC,1,ALEXANDER III,HEPHAESTION,BATIS,Missing,40000,5100,15000,0,FF,FF,FD,2,0,1,2,0,0,1,0,0,0,0,R,M,T,F,D,Missing,0,0,0,0,0,0,0,0,0,,
667,Battle of Gaugamela,1 October 331 BC,1,ALEXANDER III,PARMENION,DARIUS III,BESSUS,40000,7000,120000,20000,FF,FF,HD,1,0,1,3,0,0,1,0,2,0,2,R,B,T,F,D,Missing,0,0,0,0,0,0,0,0,0,,
668,Battle of the Persian Gate,330 BC,1,ALEXANDER III,CRATERUS,ARIOBARZANES OF PERSIS,Missing,17000,0,1500,0,DE,FF,FD,1,0,1,1,0,0,1,0,1,0,1,G,D,T,,D,Missing,0,0,0,0,0,0,0,0,0,,
669,Siege of Cyropolis,329 BC,1,ALEXANDER III,CRATERUS,Missing,Missing,10000,0,15000,0,FF,FF,FD,0,0,1,1,0,0,1,0,1,0,0,O,D,T,,D,Missing,0,0,0,0,0,0,0,0,0,,
670,Battle of the Hydaspes,May 326 BCE,1,ALEXANDER III,CRATERUS,PORUS,Missing,40000,6000,35000,15000,FF,FF,PD,0,0,0,1,0,0,0,0,1,0,0,R,M,H,$,E,Missing,0,0,0,0,0,0,0,0,0,W,
